lat,lon
43.894202,-70.342939
44.107099,-70.653855
43.594578,-70.605074
43.388055,-70.547802
43.392288,-70.472867
43.696265,-70.786556
43.726031,-70.675178
43.692014,-70.15509
43.968121,-70.598754
44.098611,-70.699167
43.639976,-70.729799
43.795771,-70.414281
43.500556,-70.386667
43.517449,-70.392053
43.890042,-70.195497
43.578056,-70.322222
43.921917,-70.449834
43.520946,-70.454632
43.428541,-70.758479
43.583476,-70.345668
43.781932,-69.993709
43.471499,-70.806445
43.814211,-70.480657
43.757137,-70.645627
43.941286,-69.964479
43.314352,-70.596883
43.684268,-70.358033
43.661586,-70.601546
